user_id,date_week,requests_count,week_lifetime_number
0010f378,2022-05-30 00:00:00,2,1
0010f378,2022-06-06 00:00:00,2,2
0010f378,2022-06-13 00:00:00,2,3
0010f378,2022-06-20 00:00:00,3,4
0010f378,2022-06-27 00:00:00,1,5
0010f378,2022-07-04 00:00:00,2,6
0010f378,2022-07-11 00:00:00,1,7
0010f378,2022-07-18 00:00:00,5,8
0010f378,2022-07-25 00:00:00,1,9
0010f378,2022-08-01 00:00:00,5,10
0010f378,2022-08-08 00:00:00,2,11
0010f378,2022-08-15 00:00:00,5,12
0010f378,2022-08-22 00:00:00,1,13
0010f378,2022-08-29 00:00:00,2,14
0010f378,2022-09-05 00:00:00,2,15
0010f378,2022-09-12 00:00:00,3,16
0010f378,2022-09-19 00:00:00,2,17
0010f378,2022-09-26 00:00:00,,18
0058b859,2022-06-13 00:00:00,4,1
0058b859,2022-06-20 00:00:00,1,2
0058b859,2022-06-27 00:00:00,3,3
0058b859,2022-07-04 00:00:00,3,4
0058b859,2022-07-11 00:00:00,1,5
0058b859,2022-07-18 00:00:00,,6
0058b859,2022-07-25 00:00:00,2,7
0058b859,2022-08-01 00:00:00,2,8
0058b859,2022-08-08 00:00:00,2,9
0058b859,2022-08-15 00:00:00,1,10
0058b859,2022-08-22 00:00:00,1,11
0058b859,2022-08-29 00:00:00,1,12
0058b859,2022-09-05 00:00:00,1,13
0058b859,2022-09-12 00:00:00,,14
0058b859,2022-09-19 00:00:00,,15
0058b859,2022-09-26 00:00:00,,16
0096bfe5,2022-05-30 00:00:00,1,1
0096bfe5,2022-06-06 00:00:00,,2
0096bfe5,2022-06-13 00:00:00,1,3
0096bfe5,2022-06-20 00:00:00,1,4
0096bfe5,2022-06-27 00:00:00,,5
0096bfe5,2022-07-04 00:00:00,,6
0096bfe5,2022-07-11 00:00:00,,7
0096bfe5,2022-07-18 00:00:00,,8
0096bfe5,2022-07-25 00:00:00,2,9
0096bfe5,2022-08-01 00:00:00,,10
0096bfe5,2022-08-08 00:00:00,,11
0096bfe5,2022-08-15 00:00:00,1,12
0096bfe5,2022-08-22 00:00:00,,13
0096bfe5,2022-08-29 00:00:00,,14
0096bfe5,2022-09-05 00:00:00,1,15
0096bfe5,2022-09-12 00:00:00,3,16
0096bfe5,2022-09-19 00:00:00,1,17
0096bfe5,2022-09-26 00:00:00,,18
00a41596,2022-08-22 00:00:00,1,1
00a41596,2022-08-29 00:00:00,,2
00a41596,2022-09-05 00:00:00,,3
00a41596,2022-09-12 00:00:00,1,4
00a41596,2022-09-19 00:00:00,,5
00a41596,2022-09-26 00:00:00,,6
00eca7df,2022-05-30 00:00:00,1,1
00eca7df,2022-06-06 00:00:00,3,2
00eca7df,2022-06-13 00:00:00,2,3
00eca7df,2022-06-20 00:00:00,4,4
00eca7df,2022-06-27 00:00:00,1,5
00eca7df,2022-07-04 00:00:00,2,6
00eca7df,2022-07-11 00:00:00,2,7
00eca7df,2022-07-18 00:00:00,1,8
00eca7df,2022-07-25 00:00:00,3,9
00eca7df,2022-08-01 00:00:00,1,10
00eca7df,2022-08-08 00:00:00,1,11
00eca7df,2022-08-15 00:00:00,2,12
00eca7df,2022-08-22 00:00:00,3,13
00eca7df,2022-08-29 00:00:00,1,14
00eca7df,2022-09-05 00:00:00,6,15
00eca7df,2022-09-12 00:00:00,5,16
00eca7df,2022-09-19 00:00:00,1,17
00eca7df,2022-09-26 00:00:00,2,18
0120df7e,2022-06-06 00:00:00,1,1
0120df7e,2022-06-13 00:00:00,1,2
0120df7e,2022-06-20 00:00:00,1,3
0120df7e,2022-06-27 00:00:00,,4
0120df7e,2022-07-04 00:00:00,,5
0120df7e,2022-07-11 00:00:00,1,6
0120df7e,2022-07-18 00:00:00,1,7
0120df7e,2022-07-25 00:00:00,,8
0120df7e,2022-08-01 00:00:00,,9
0120df7e,2022-08-08 00:00:00,,10
0120df7e,2022-08-15 00:00:00,,11
0120df7e,2022-08-22 00:00:00,1,12
0120df7e,2022-08-29 00:00:00,,13
0120df7e,2022-09-05 00:00:00,1,14
0120df7e,2022-09-12 00:00:00,1,15
0120df7e,2022-09-19 00:00:00,,16
0120df7e,2022-09-26 00:00:00,,17
014f2cd1,2022-06-06 00:00:00,1,1
014f2cd1,2022-06-13 00:00:00,2,2
014f2cd1,2022-06-20 00:00:00,1,3
014f2cd1,2022-06-27 00:00:00,,4
014f2cd1,2022-07-04 00:00:00,3,5
014f2cd1,2022-07-11 00:00:00,1,6
014f2cd1,2022-07-18 00:00:00,3,7
014f2cd1,2022-07-25 00:00:00,,8
014f2cd1,2022-08-01 00:00:00,1,9
014f2cd1,2022-08-08 00:00:00,3,10
014f2cd1,2022-08-15 00:00:00,1,11
014f2cd1,2022-08-22 00:00:00,3,12
014f2cd1,2022-08-29 00:00:00,1,13
014f2cd1,2022-09-05 00:00:00,2,14
014f2cd1,2022-09-12 00:00:00,4,15
014f2cd1,2022-09-19 00:00:00,,16
014f2cd1,2022-09-26 00:00:00,2,17
0159dc09,2022-06-13 00:00:00,1,1
0159dc09,2022-06-20 00:00:00,1,2
0159dc09,2022-06-27 00:00:00,,3
0159dc09,2022-07-04 00:00:00,,4
0159dc09,2022-07-11 00:00:00,2,5
0159dc09,2022-07-18 00:00:00,,6
0159dc09,2022-07-25 00:00:00,,7
0159dc09,2022-08-01 00:00:00,,8
0159dc09,2022-08-08 00:00:00,1,9
0159dc09,2022-08-15 00:00:00,,10
0159dc09,2022-08-22 00:00:00,,11
0159dc09,2022-08-29 00:00:00,,12
0159dc09,2022-09-05 00:00:00,1,13
0159dc09,2022-09-12 00:00:00,1,14
0159dc09,2022-09-19 00:00:00,,15
0159dc09,2022-09-26 00:00:00,,16
01786865,2022-05-30 00:00:00,15,1
01786865,2022-06-06 00:00:00,20,2
01786865,2022-06-13 00:00:00,19,3
01786865,2022-06-20 00:00:00,15,4
01786865,2022-06-27 00:00:00,14,5
01786865,2022-07-04 00:00:00,18,6
01786865,2022-07-11 00:00:00,9,7
01786865,2022-07-18 00:00:00,32,8
01786865,2022-07-25 00:00:00,7,9
01786865,2022-08-01 00:00:00,10,10
01786865,2022-08-08 00:00:00,8,11
01786865,2022-08-15 00:00:00,51,12
